id,lastpage,randnumber,v1f1,v1f2,v2f1,v2f2,v3f1,v3f2,v4f1,v4f2,v5f1,v5f2,v6f1,v6f2,v7f1,v7f2,v8f1,v8f2,konsq001,konsq002,konsq003,gender_1,gender_2,gender_3,age,edu1,edu2,edu3,edu4,edu5,edu6,edu7
225,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,Y,,,57,,,Y,,,,
226,24,3,,,,,Y,AO05,,,,,,,,,,,,,Y,Y,,,65,,,,Y,,,
227,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,Y,,,42,,Y,,,,,
228,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,,,Y,49,,Y,,,,,
229,24,2,,,N,AO04,,,,,,,,,,,,,,,Y,Y,,,40,,,Y,,,,
230,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,,,Y,25,,,,Y,,,
231,24,2,,,N,AO03,,,,,,,,,,,,,,,Y,Y,,,39,,Y,,,,,
232,24,7,,,,,,,,,,,,,N,AO02,,,,,Y,,,Y,48,,Y,,,,,
233,24,5,,,,,,,,,N,AO04,,,,,,,,,Y,Y,,,49,,Y,,,,,
234,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,58,,Y,,,,,
235,24,8,,,,,,,,,,,,,,,Y,AO06,,,Y,Y,,,37,,,Y,,,,
236,24,2,,,N,AO02,,,,,,,,,,,,,,,Y,,,Y,58,,Y,,,,,
237,24,4,,,,,,,Y,AO05,,,,,,,,,,,Y,,,Y,18,,,Y,,,,
238,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,27,,Y,,,,,
239,24,4,,,,,,,Y,AO07,,,,,,,,,,,Y,Y,,,51,,Y,,,,,
240,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,Y,,,62,,,Y,,,,
241,24,8,,,,,,,,,,,,,,,N,AO03,,,Y,Y,,,55,,,,Y,,,
242,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,Y,,,60,,,Y,,,,
245,24,2,,,Y,AO08,,,,,,,,,,,,,,,Y,,,Y,48,,,Y,,,,
246,24,6,,,,,,,,,,,N,AO02,,,,,,,Y,,,Y,74,,,Y,,,,
247,24,6,,,,,,,,,,,Y,AO05,,,,,,,Y,Y,,,61,,,Y,,,,
248,24,8,,,,,,,,,,,,,,,N,AO02,,,Y,,,Y,62,,Y,,,,,
249,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,,,Y,44,,Y,,,,,
250,24,7,,,,,,,,,,,,,Y,AO04,,,,,Y,Y,,Y,49,,Y,,,,,
251,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,Y,,,35,,,Y,,,,
252,24,3,,,,,N,AO01,,,,,,,,,,,,,Y,Y,,,69,,Y,,,,,
253,24,6,,,,,,,,,,,N,AO02,,,,,,,Y,Y,,,58,,Y,,,,,
254,24,1,N,AO01,,,,,,,,,,,,,,,,,Y,,,Y,59,,,,Y,,,
255,21,4,,,,,,,N,AO06,,,,,,,,,Y,,,,,,,,,,,,,
256,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,Y,,,40,,Y,,,,,
257,21,6,,,,,,,,,,,Y,AO07,,,,,,Y,,,,,,,,,,,,
258,24,8,,,,,,,,,,,,,,,N,AO01,,,Y,Y,,,58,,Y,,,,,
259,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,Y,,,32,,,,Y,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,24,1,Y,AO07,,,,,,,,,,,,,,,,,Y,Y,,,54,,,Y,,,,
262,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,47,,,Y,,,,
263,24,5,,,,,,,,,Y,AO06,,,,,,,,,Y,Y,,,52,,Y,,,,,
264,24,4,,,,,,,Y,AO04,,,,,,,,,,,Y,,,Y,59,,Y,,,,,
265,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,48,,,,Y,,,
266,21,5,,,,,,,,,Y,AO05,,,,,,,,Y,,,,,,,,,,,,
267,24,2,,,N,AO03,,,,,,,,,,,,,,,Y,,,Y,73,,Y,,,,,
268,24,8,,,,,,,,,,,,,,,N,AO05,,,Y,,,Y,56,,,,Y,,,
269,21,2,,,Y,AO06,,,,,,,,,,,,,,Y,,,,,,,,,,,,
270,24,5,,,,,,,,,Y,AO04,,,,,,,,,Y,Y,,,63,,,Y,,,,
271,24,6,,,,,,,,,,,Y,AO04,,,,,,,Y,,,Y,51,,Y,,,,,
272,24,4,,,,,,,N,AO01,,,,,,,,,,,Y,,,Y,57,,,Y,,,,
273,24,5,,,,,,,,,Y,AO05,,,,,,,,,Y,,,Y,51,,,,Y,,,
274,24,5,,,,,,,,,Y,AO04,,,,,,,,,Y,Y,,,57,,,,Y,,,
275,21,4,,,,,,,N,AO04,,,,,,,,,,Y,,,,,,,,,,,,
276,21,2,,,N,AO02,,,,,,,,,,,,,,Y,,,,,,,,,,,,
277,24,2,,,N,AO05,,,,,,,,,,,,,,,Y,,,Y,74,,Y,,,,,
