id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
64,45,4,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,54,,,Y,,,,,,,,,,Y,,,Y,
65,45,7,,,,,,,,,,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,3,30,Y,,,,,,Y,,,,,,Y,Y,,,
66,45,6,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,3,70,,,Y,,,Y,,,,,,,,,,Y,
67,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO01,Y,,,,3,62,Y,,,,,,,Y,,,,,,Y,,,
68,45,1,N,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,48,,,Y,,,,,Y,,,,,,,,Y,
69,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO02,N,,,,,,,3,47,,,Y,,,Y,,,,,,,,Y,,,
70,45,7,,,,,,,,,,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,3,72,,,Y,,,,,Y,,,,,,,,,Y
71,45,7,,,,,,,,,,,,,,,,,,,N,AO07,Y,,,,,,,,,,,,,,,,3,67,Y,,,,,Y,,,,,,,,,,,Y
72,45,5,,,,,,,,,,,,,N,AO06,N,,,,,,,,,,,,,,,,,,,,,,3,49,,,Y,,,,Y,,,,,,Y,,Y,,
73,45,7,,,,,,,,,,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,3,20,,,Y,,,,,,,,Y,,,,,Y,
74,45,6,,,,,,,,,,,,,,,,Y,AO05,Y,,,,,,,,,,,,,,,,,,,3,30,,,Y,,,,,,,,,,Y,,,Y,
75,45,3,,,,,,,Y,AO07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,Y,,,,,,Y,,,,,,Y,,,Y,
76,45,1,Y,AO04,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,57,,,Y,,,,,Y,,,,,Y,Y,,,
77,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,,,,,,,3,53,,,Y,,,,,Y,,,,,,,Y,,
78,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO07,Y,,,,,,,3,52,Y,,,,,,,,,,,,Y,Y,,,
79,45,1,N,AO04,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,Y,,,,,Y,,,,,,,,,Y,,
80,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,Y,,,,,,Y,,,,,,,,,Y,
81,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,45,1,Y,AO04,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,Y,,,,,Y,,,,,,,,Y,,,
83,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,Y,,,,3,44,,,Y,,,,Y,,,,,,,,,Y,
