id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
154,22,1,Y,N,,,,,,,,,2,34,2,5,2,,Y,,,,,,5,5
155,22,3,,,,,Y,N,,,,,2,62,2,3,6,,,,,,Y,,5,4
156,22,4,,,,,,,Y,N,,,2,59,2,6,7,,Y,,,,,,3,3
157,22,4,,,,,,,Y,N,,,2,36,1,7,4,,Y,,,,,,4,4
158,15,5,,,,,,,,,N,Y,3,,,,,,,,,,,,,
159,22,3,,,,,N,N,,,,,2,61,1,5,5,,Y,Y,,Y,,,4,5
160,22,1,Y,N,,,,,,,,,2,61,1,5,1,,Y,,,,,,4,5
161,22,2,,,Y,N,,,,,,,2,35,1,7,3,,Y,Y,,,,,3,3
162,22,2,,,Y,N,,,,,,,2,30,2,8,3,,Y,Y,,,,,5,5
163,22,4,,,,,,,Y,N,,,2,67,2,6,2,,,,,,,Y,5,3
164,,,,,,,,,,,,,,,,,,,,,,,,,,
165,22,5,,,,,,,,,N,N,2,52,1,6,4,,Y,,,,,,5,5
166,22,2,,,N,N,,,,,,,2,57,1,9,2,,Y,,,,,,4,4
167,2,,,,,,,,,,,,,,,,,,,,,,,,,
168,22,2,,,Y,N,,,,,,,2,71,2,5,-oth-,unparteiisch,,,,,Y,,3,5
169,22,2,,,Y,Y,,,,,,,2,69,1,9,2,,Y,,,,Y,,5,4
170,22,3,,,,,Y,Y,,,,,2,57,1,5,5,,Y,,,,,,4,3
171,22,3,,,,,Y,Y,,,,,2,21,1,6,1,,Y,,Y,,Y,,5,5
172,22,2,,,N,Y,,,,,,,2,70,1,6,5,,Y,,,,Y,,5,2
173,-1,,,,,,,,,,,,,,,,,,,,,,,,,
174,15,2,,,Y,Y,,,,,,,1,,,,,,,,,,,,,
175,22,1,Y,N,,,,,,,,,2,58,2,4,-oth-,Tierschutzpartei ,,,Y,,,,4,5
176,22,2,,,N,N,,,,,,,2,42,2,7,4,,Y,,,,,,4,3
177,22,2,,,N,Y,,,,,,,2,41,1,5,7,,Y,,,,,,5,1
178,22,2,,,Y,N,,,,,,,2,72,2,7,1,,Y,,,,Y,,5,5
179,22,1,Y,Y,,,,,,,,,2,57,2,5,2,,Y,,,,,,3,3
180,,,,,,,,,,,,,,,,,,,,,,,,,,
181,22,5,,,,,,,,,N,Y,2,53,2,5,7,,Y,,,,,,5,4
182,22,5,,,,,,,,,Y,Y,2,63,2,4,3,,Y,,,,Y,,5,4
